id,description,amount,category,date,description_cleaned,date_normalized
365,Steam games,182.7,Entertainment,"Dec 14, 2025",steam games,2025-12-14
366,Amzon prime sub,194.31,Shopping,12-31-2025,amazon prime sub,2025-12-31
367,netflix.com,357.7,Entertainment,2026-01-08,netflixcom,2026-01-08
368,Mobile recharge,421.14,Utilities,"Dec 16, 2025",mobile recharge,2025-12-16
369,bill for power,471.63,Utilities,"Jan 11, 2026",bill for power,2026-01-11
370,Petrol refill,371.87,Transport,"Dec 09, 2025",petrol refill,2025-12-09
371,meds...,127.86,Health,"Dec 21, 2025",meds,2025-12-21
372,Uber ridee,333.28,Transport,12-24-2025,uber ridee,2025-12-24
373,Amazon.com*123,148.36,Shopping,12-14-2025,amazoncom123,2025-12-14
374,meds...,166.31,Health,12-07-2025,meds,2025-12-07
375,Hospital bill,294.59,Health,2025-12-26,hospital bill,2025-12-26
376,Dinner  at  Palace,445.47,Food,2026-01-04,dinner at palace,2026-01-04
377,Subway sandwich,32.18,Food,"Dec 27, 2025",subway sandwich,2025-12-27
378,Internet Comcast,357.12,Utilities,"Jan 09, 2026",internet comcast,2026-01-09
379,Gas station,453.27,Transport,2025-12-14,gas station,2025-12-14
380,target store,401.04,Shopping,2025-12-14,target store,2025-12-14
381,petrol refill,69.67,Transport,2025-12-27,petrol refill,2025-12-27
382,Gas station,166.59,Transport,"Jan 13, 2026",gas station,2026-01-13
383,Subway sandwich,272.55,Food,2025-12-25,subway sandwich,2025-12-25
384,Strbucks cofee,465.91,Food,09/12/2025,starbucks coffee,2025-12-09
385,train pass,84.43,Transport,12-27-2025,train pass,2025-12-27
386,Mobile recharge,455.57,Utilities,2026-01-12,mobile recharge,2026-01-12
387,pfizer meds,433.48,Health,12-28-2025,pfizer meds,2025-12-28
388,Strbucks cofee,40.94,Food,12-27-2025,starbucks coffee,2025-12-27
389,steam games,141.49,Entertainment,12-07-2025,steam games,2025-12-07
390,Hospital bill,59.87,Health,2025-12-01,hospital bill,2025-12-01
391,Spotify,199.64,Entertainment,11/12/2025,spotify,2025-12-11
392,Bus ticket,450.53,Transport,"Dec 11, 2025",bus ticket,2025-12-11
393,Groceries,157.35,Food,"Dec 14, 2025",groceries,2025-12-14
394,WAL-MART #456,428.19,Shopping,"Dec 01, 2025",walmart 456,2025-12-01
395,Cinema tickets,286.2,Entertainment,2026-01-09,cinema tickets,2026-01-09
396,Gas station,223.77,Transport,12/12/2025,gas station,2025-12-12
397,Pfizer meds,283.53,Health,2026-01-14,pfizer meds,2026-01-14
398,Pfizer meds,370.78,Health,"Dec 27, 2025",pfizer meds,2025-12-27
399,Target store,133.52,Shopping,16/12/2025,target store,2025-12-16
400,Doctor  visit,415.18,Health,15/01/2026,doctor visit,2026-01-15
401,spotify,473.83,Entertainment,"Dec 29, 2025",spotify,2025-12-29
402,Netflix subscription,335.48,Entertainment,"Dec 23, 2025",netflix subscription,2025-12-23
403,Pfizer meds,32.39,Health,12-26-2025,pfizer meds,2025-12-26
404,Pfizer meds,119.12,Health,2025-12-05,pfizer meds,2025-12-05
405,Coffee!!,310.95,Food,2025-12-15,coffee,2025-12-15
406,Elec Bill - Jan,388.19,Utilities,"Dec 16, 2025",elec bill jan,2025-12-16
407,Netflix subscription,465.31,Entertainment,03/12/2025,netflix subscription,2025-12-03
408,meds...,265.72,Health,"Dec 10, 2025",meds,2025-12-10
409,pharmacy - CVS,203.91,Health,20/12/2025,pharmacy cvs,2025-12-20
410,sttarbucks,354.27,Food,"Jan 06, 2026",starbucks,2026-01-06
411,bill for power,436.84,Utilities,11/01/2026,bill for power,2026-01-11
412,amzn mktp,76.84,Shopping,04/12/2025,amazon mktp,2025-12-04
413,Water bill,16.29,Utilities,12-24-2025,water bill,2025-12-24
414,Gas station,410.88,Transport,01-07-2026,gas station,2026-01-07
415,Amzon prime sub,68.89,Shopping,01/01/2026,amazon prime sub,2026-01-01
416,Pfizer meds,13.53,Health,"Jan 08, 2026",pfizer meds,2026-01-08
417,walmrt grocceries,48.05,Shopping,02/01/2026,walmart grocery,2026-01-02
418,Groceries,447.64,Food,12-29-2025,groceries,2025-12-29
419,Gym membership,389.93,Health,2025-12-19,gym membership,2025-12-19
420,uberrr,467.6,Transport,"Jan 05, 2026",uberrr,2026-01-05
421,petrol refill,210.71,Transport,18/12/2025,petrol refill,2025-12-18
422,Hospital bill,446.97,Health,28/12/2025,hospital bill,2025-12-28
423,Strbucks cofee,63.0,Food,"Dec 30, 2025",starbucks coffee,2025-12-30
424,spotify,433.91,Entertainment,"Dec 26, 2025",spotify,2025-12-26
425,Electcity bill,234.56,Utilities,09/01/2026,electricity bill,2026-01-09
426,pharmacy  -  CVS,5.55,Health,12-28-2025,pharmacy cvs,2025-12-28
427,Lunch at MCD,48.97,Food,01-06-2026,lunch at mcd,2026-01-06
428,Cinema tickets,64.06,Entertainment,12-17-2025,cinema tickets,2025-12-17
429,WAL-MART #456,54.8,Shopping,01-08-2026,walmart 456,2026-01-08
430,Target store,366.63,Shopping,2026-01-10,target store,2026-01-10
431,Strbucks cofee,324.67,Food,12-05-2025,starbucks coffee,2025-12-05
432,Cinema tickets,239.85,Entertainment,"Jan 11, 2026",cinema tickets,2026-01-11
433,hospital bill,23.96,Health,"Dec 11, 2025",hospital bill,2025-12-11
434,Subway sandwich,162.48,Food,"Dec 13, 2025",subway sandwich,2025-12-13
435,Coffee!!,261.53,Food,"Jan 12, 2026",coffee,2026-01-12
436,Internet Comcast,326.76,Utilities,12-18-2025,internet comcast,2025-12-18
437,Coffee!!,106.45,Food,"Dec 05, 2025",coffee,2025-12-05
438,Amzon prime sub,96.39,Shopping,12-22-2025,amazon prime sub,2025-12-22
439,Spotify,301.79,Entertainment,2026-01-11,spotify,2026-01-11
440,Train pass,495.83,Transport,24/12/2025,train pass,2025-12-24
441,Elec Bill - Jan,405.18,Utilities,06/01/2026,elec bill jan,2026-01-06
442,Electcity bill,49.21,Utilities,"Dec 12, 2025",electricity bill,2025-12-12
443,amzn mktp,460.51,Shopping,12-25-2025,amazon mktp,2025-12-25
444,Target store,217.55,Shopping,2025-12-01,target store,2025-12-01
445,UBER   123,170.77,Transport,"Dec 30, 2025",uber 123,2025-12-30
446,bill for power,119.51,Utilities,"Dec 21, 2025",bill for power,2025-12-21
447,pharmacy - CVS,70.06,Health,2025-12-14,pharmacy cvs,2025-12-14
448,lunch at mcd,389.1,Food,20/12/2025,lunch at mcd,2025-12-20
449,amzn mktp,116.44,Shopping,2025-12-11,amazon mktp,2025-12-11
450,strbucks cofee,97.04,Food,31/12/2025,starbucks coffee,2025-12-31
451,Bus ticket,335.9,Transport,2025-12-01,bus ticket,2025-12-01
452,Elec  Bill  -  Jan,312.65,Utilities,"Dec 14, 2025",elec bill jan,2025-12-14
453,spotify,352.56,Entertainment,"Dec 31, 2025",spotify,2025-12-31
454,strbucks  cofee,423.44,Food,2026-01-06,starbucks coffee,2026-01-06
455,Dinner at Palace,364.92,Food,2026-01-14,dinner at palace,2026-01-14
456,Gym membership,465.57,Health,15/01/2026,gym membership,2026-01-15
457,Amzon prime sub,131.56,Shopping,2026-01-04,amazon prime sub,2026-01-04
458,movie night,440.61,Entertainment,"Jan 02, 2026",movie night,2026-01-02
459,Uber ridee,188.88,Transport,2025-12-30,uber ridee,2025-12-30
460,meds...,435.72,Health,2025-12-11,meds,2025-12-11
461,bill for power,496.1,Utilities,24/12/2025,bill for power,2025-12-24
462,Cinema tickets,29.52,Entertainment,2026-01-10,cinema tickets,2026-01-10
463,Cinema tickets,42.85,Entertainment,"Dec 21, 2025",cinema tickets,2025-12-21
464,Train pass,65.71,Transport,2025-12-05,train pass,2025-12-05
465,groceries,204.35,Food,01/12/2025,groceries,2025-12-01
466,Petrol refill,373.8,Transport,2025-12-19,petrol refill,2025-12-19
467,Train pass,277.21,Transport,12-04-2025,train pass,2025-12-04
468,amazon.com*123,107.18,Shopping,12-04-2025,amazoncom123,2025-12-04
469,sttarbucks,436.1,Food,12-25-2025,starbucks,2025-12-25
470,gas station,315.74,Transport,2025-12-23,gas station,2025-12-23
471,NETFLIX.COM,347.03,Entertainment,12-29-2025,netflixcom,2025-12-29
472,movie night,61.29,Entertainment,2026-01-10,movie night,2026-01-10
473,Walmrt grocceries,247.79,Shopping,2025-12-21,walmart grocery,2025-12-21
474,WAL-MART #456,285.7,Shopping,12-03-2025,walmart 456,2025-12-03
475,NETFLIX.COM,138.49,Entertainment,"Dec 30, 2025",netflixcom,2025-12-30
476,Groceries,207.5,Food,2025-12-30,groceries,2025-12-30
477,Groceries,134.73,Food,14/12/2025,groceries,2025-12-14
478,Internet  Comcast,277.73,Utilities,12-21-2025,internet comcast,2025-12-21
479,amzn mktp,159.28,Shopping,31/12/2025,amazon mktp,2025-12-31
480,Water bill,238.8,Utilities,"Dec 30, 2025",water bill,2025-12-30
481,Pfizer meds,365.32,Health,08/12/2025,pfizer meds,2025-12-08
482,Spotify,410.7,Entertainment,2025-12-17,spotify,2025-12-17
483,train pass,113.1,Transport,2026-01-12,train pass,2026-01-12
484,pfizer meds,300.13,Health,01/12/2025,pfizer meds,2025-12-01
485,steam games,200.71,Entertainment,2025-12-03,steam games,2025-12-03
486,NETFLIX.COM,486.78,Entertainment,01-05-2026,netflixcom,2026-01-05
487,WAL-MART #456,100.94,Shopping,27/12/2025,walmart 456,2025-12-27
488,Steam  games,132.47,Entertainment,"Jan 11, 2026",steam games,2026-01-11
489,UBER      123,373.16,Transport,29/12/2025,uber 123,2025-12-29
490,uberrr,72.5,Transport,12-30-2025,uberrr,2025-12-30
491,Hospital bill,87.8,Health,2025-12-21,hospital bill,2025-12-21
492,lunch at mcd,329.26,Food,12-09-2025,lunch at mcd,2025-12-09
493,Strbucks cofee,209.86,Food,12-23-2025,starbucks coffee,2025-12-23
494,Electcity bill,298.29,Utilities,18/12/2025,electricity bill,2025-12-18
495,Spotify,489.94,Entertainment,22/12/2025,spotify,2025-12-22
496,Coffee!!,64.27,Food,"Dec 21, 2025",coffee,2025-12-21
497,bill for power,194.63,Utilities,12/12/2025,bill for power,2025-12-12
498,Hospital bill,353.19,Health,12-24-2025,hospital bill,2025-12-24
499,Cinema tickets,355.37,Entertainment,28/12/2025,cinema tickets,2025-12-28
500,WAL-MART #456,299.02,Shopping,26/12/2025,walmart 456,2025-12-26
